epoch,acc,loss,val_acc,val_loss
0,0.28206521739130436,3.399415887841856,0.4085,1.2791931324005128
1,0.42983091787439615,1.2519150258838267,0.5615,1.062866837978363
2,0.5939009661835749,0.9996728189901454,0.616,0.9433479690551758
3,0.663647342995169,0.8687612274706652,0.675,0.8585569348335266
4,0.7056763285024155,0.7818198892805311,0.6905,0.8097751362323761
5,0.7380434782608696,0.7074872689834539,0.707,0.7812832931280136
6,0.7623188405797101,0.6538192157728084,0.7305,0.7254858342409134
7,0.7828502415458937,0.5951801327907521,0.747,0.703498395204544
8,0.7983695652173913,0.5465358077327986,0.7785,0.6430717141628265
9,0.8178743961352657,0.5003477396956388,0.7605,0.6750526953935623
10,0.8283212560386474,0.46586767675508045,0.783,0.6233307268619538
11,0.8498792270531401,0.41729064321028436,0.7705,0.6588556035757065
12,0.8570652173913044,0.3924545578118684,0.7925,0.6072226141691208
13,0.8704710144927537,0.35964159836659687,0.788,0.6531294469833374
14,0.8814009661835749,0.3287231903343241,0.796,0.6210981835126876
15,0.8926932367149758,0.29937725334927656,0.8025,0.6462993824481964
16,0.9004830917874396,0.26953154484143005,0.795,0.6730339220762253
17,0.9134057971014493,0.24885511974205718,0.7965,0.6209196663498878
